User_ID,Full_Name,Company_Organization,Mainnet_Stellar_Wallet_Address,Role,Transaction_Hash,Interaction_Date,Feedback_Rating,Verification_Status
1,Marcus Vance,Global Supply Alliance,GA7QYNF7SOWQ3GLR2BGMZEHXAVIRZA4KVWBDJJGTH46W45H2B2J5M4U6,Procurement Lead,0x8f2a1b4c6e8d0f1a3c5e7b9d2f4a6c8e0b2d4f6a8c0e2b4d6f8a0c2e4b6d8f0a,2026-08-12,5,VERIFIED_MAINNET
2,Elena Rostova,Nordic Freight Logistics,GBN4M5J8Z9X2L3K4T5R6V7W8P9Q0S1D2F3G4H5J6K7L8M9N0P1Q2,Operations Director,0x7b3c2d1e0f9a8b7c6d5e4f3a2b1c0d8e7f6a5b4c3d2e1f0a9b8c7d6e5f4a3b2c,2026-08-12,5,VERIFIED_MAINNET
3,Sarah Jenkins,Apex Logistics Ltd,GCD8P3K2M4N5L6J7H8G9F0D1S2A3W4E5R6T7Y8U9I0O1P2Q3R4S5,Supplier Evaluator,0x1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b,2026-08-12,5,VERIFIED_MAINNET
4,David Chen,Trans-Pacific Shipping,GD9M8L7K6J5H4G3F2D1S0A9W8E7R6T5Y4U3I2O1P0Q9W8E7R6T5Y4,Procurement Auditor,0x3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f,2026-08-13,4,VERIFIED_MAINNET
5,Amara Okafor,West Africa Minerals Corp,GA2W3E4R5T6Y7U8I9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7,Supply Chain Manager,0x5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d,2026-08-13,5,VERIFIED_MAINNET
6,Kenji Sato,Tokyo Microtech Solutions,GB3E4R5T6Y7U8I9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8,Quality Assurance VP,0x7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f,2026-08-13,5,VERIFIED_MAINNET
7,Mateo Rossi,Milano Componenti SpA,GC4R5T6Y7U8I9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9,Vendor Relations Lead,0x9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b,2026-08-13,5,VERIFIED_MAINNET
8,Fatima Al-Mansoor,Gulf Logistics Enterprise,GD5T6Y7U8I9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0,Logistics Coordinator,0xb1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d,2026-08-14,4,VERIFIED_MAINNET
9,Carlos Silva,São Paulo Industrial S.A.,GA6Y7U8I9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1,Procurement Officer,0xd3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f,2026-08-14,5,VERIFIED_MAINNET
10,Astrid Lindholm,Nordic Raw Materials AB,GB7U8I9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2,Sustainability Auditor,0xf5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b,2026-08-14,5,VERIFIED_MAINNET
